year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2024,Government College of Engineering Tirunelveli,GCE Tirunelveli,Government,Tirunelveli,Computer Science and Engineering,BC,General,187.5
2024,Government College of Engineering Tirunelveli,GCE Tirunelveli,Government,Tirunelveli,Computer Science and Engineering,SC,General,173.5
2024,Government College of Engineering Tirunelveli,GCE Tirunelveli,Government,Tirunelveli,Computer Science and Engineering,ST,General,108.0
2024,Government College of Engineering Theni,GCE Theni,Government,Theni,Computer Science and Engineering,OC,General,174.0
2024,Government College of Engineering Theni,GCE Theni,Government,Theni,Computer Science and Engineering,BC,General,163.0
2024,Government College of Engineering Theni,GCE Theni,Government,Theni,Computer Science and Engineering,SC,General,150.0
2024,Alagappa Chettiar Govt College of Engineering and Technology,ACGCET Karaikudi,Government,Sivagangai,Computer Science and Engineering,OC,General,191.5
2024,Alagappa Chettiar Govt College of Engineering and Technology,ACGCET Karaikudi,Government,Sivagangai,Computer Science and Engineering,BC,General,187.5
2024,Alagappa Chettiar Govt College of Engineering and Technology,ACGCET Karaikudi,Government,Sivagangai,Computer Science and Engineering,SC,General,176.5
2024,Alagappa Chettiar Govt College of Engineering and Technology,ACGCET Karaikudi,Government,Sivagangai,Computer Science and Engineering,ST,General,162.0
